line1,line2,line3,source
Memorial Day --,a shadow for each,white cross,tempslibres
spring rain -,as the doctor speaks,i think of lilacs,tempslibres
spring moonset --,a rice ball for,breakfast,tempslibres
sunny afternoon,an old man lingers,near the mailbox,tempslibres
cinco de mayo,horses roll,in the shallows,tempslibres
quitting time,the smell of rain,in the lobby,tempslibres
waves,slowly cresting towards shore,a faint moon,tempslibres
overnight rain --,the scent of orange blossoms,in a desert town,tempslibres
misty summer rain,calling pheasant,in Zen temple,tempslibres
day is done,poppies amidst,the dying grass,tempslibres
watching clouds,the white petals,of a crushed crocus,tempslibres
mountain stream,   two well placed rocks,the path home,tempslibres
night shift--,in the parking lot car lights,dim near morning,tempslibres
a wild violet,on the sunny hill~,noon time nap,tempslibres
a sunny day,pink haze of the cherry blossoms,over the hill,tempslibres
polished oak --,the freesia's shadow ends,in coffee foam,tempslibres
nobody here,a table in the mountain,speckled with petals,tempslibres
first date,not even noticing,the new moon,tempslibres
vanishing difference . . .,  gliding geese settle onto,    their reflections,tempslibres
distant hawk,a gust of cherry petals,crosses the lawn,tempslibres
Orange sunrise peaks through,The tubes and wires of father's,Life support machine,tempslibres
moonlessness--,so many ways,I want to touch you,tempslibres
earth day--,even the shadows at dusk,smell green,tempslibres
so cold -,a goose honks its way,across the night sky,tempslibres
damp straw . . .,   the day-old colt mesmerized,       by the radio,tempslibres
prying,   at the window . . .,       wind,tempslibres
in winter's wind,the call of a friend,who now has cancer,tempslibres
rainy bridge-,the river flowing,faster,tempslibres
spring breeze-,the balcony's shadows,on my book,tempslibres
winter drizzle,all the passing faces look,into the cafe,tempslibres
smells of spring,adrift in the morning air,bubbles under ice,tempslibres
Spring morning,your hand on my breast,a bird,tempslibres
crossroads,the brown core,of an apple,tempslibres
hot afternoon,a flirting couple,in the memorial's shade,tempslibres
last red in the sky,a small girl's moon face rises,over the counter,tempslibres
day moon,the woman with silver hair,steps back into the shade,tempslibres
morning delivery --,snow comes in,with the FedEx man,tempslibres
Easter--,an anxious mother calls,in the wind,tempslibres
windless day,the prolific weeds,at the grave site,tempslibres
Spring day,cool and grey,cup of tea,tempslibres
Grey today,the waves rush,memories,tempslibres
Spring equinox,Pray the ancestor grave,In cold rain,tempslibres
folding chair,the newborn colt tries,to stand,tempslibres
scattered sun --,one chickadee,louder than the rest,tempslibres
orthopaedic clinic,a three-legged chair,outside the entrance,tempslibres
the plane's landing lights,a wave of barking,sweeps the neighbourhood,tempslibres
the way grass parts,as the pheasant passes,spring's end,tempslibres
at half-mast,a butterfly passes by,the still flag,tempslibres
half asleep -,the rhythm of the,receding rain,tempslibres
evening service --,light beams,into the night,tempslibres
watching summer clouds,thoughts shaping and,reshaping,tempslibres
geese honking---,children in the,bathtub playing,tempslibres
rabbit trail,nothing but ears,above the snow,tempslibres
late night at the office,an exit sign floats,next to the moon,tempslibres
celtic harp,the first raindrops touch,my cheeks,tempslibres
traffic jam,three saffron-robed men munch nuts,in their SUV,tempslibres
Valentine's Day,a forsythia,without birds,tempslibres
early spring air,all day long,our beds not made,tempslibres
husband away,washing his socks,by hand,tempslibres
her fresh flowers -,his fresh grave,valentine's day,tempslibres
valentines -,the mailman's steps,break the ice,tempslibres
only two pinecones,on the park bench ~,Valentine's day,tempslibres
"lakeside,",below the egret---,a city of lights,tempslibres
hedgerow birds,three boys share a spliff,by the school gate,tempslibres
after the rain,moon and stars,underfoot,tempslibres
dwindling bonfire,a shooting star,near Orion,tempslibres
cold night-,a plane blinks through,Orion's bow,tempslibres
dark tree silhouettes,low on the horizon,Orion rises,tempslibres
Science day,the programme begins,with rituals,tempslibres
traffic argument,the camel's sneer,is impartial,tempslibres
winter stars,suddenly a whiff,of perfume,tempslibres
 trains come and go,but the same people,drinks at bar,tempslibres
first raindrops,the freight train I passed,two states ago,tempslibres
silhouette. . .,  a shining snow path to,     a pale moon,tempslibres
thousands of miles,"away, her first birthday---",fresh mango,tempslibres
swimming across,the moonlit sky---,a gray carp,tempslibres
half moon,darkness drinking from an,alabaster teacup,tempslibres
floating,down river,an egret's shadow,tempslibres
a McDo box,floats towards the fountain,insect on board,tempslibres
new year...,a magpie turns over,an old leaf,tempslibres
new year,fireworks,in a misty sky,tempslibres
silence,the moon breaks through,the firework smoke,tempslibres
spring mist,the tree I take shelter under,planted in remembrance,tempslibres
lingering cold...,the last jar of maple syrup,on the cupboard shelf,tempslibres
"oh moon, moon",above so much powdery snow,father is still ill,tempslibres
deepening snow--,she leaves our atlas open,to her homeland,tempslibres
familiar names-,the warmth of a woodstove,in January,tempslibres
eddying leaves,the old woman's wrinkled face,and saree,tempslibres
morning mist,the iora is gone,before I recall its name,tempslibres
drifting fog,the house across the road,reappears,tempslibres
fading,right before my eyes,morning moon,tempslibres
morning glories,find their way to the sun,on barbed wire,tempslibres
summer rain,the smell of earth,in the air,tempslibres
early spring,everything,dripping,tempslibres
more rain -,mildew colors,the old roof,tempslibres
mountain storm,somewhere during its echo,the thunder ends,tempslibres
even my pee,stays inside this,cold winter night,tempslibres
snowfall---,a milk mustache,on my daughter's face,tempslibres
 drowned,in the sound of the rain,other familiar sounds,tempslibres
sun dog--,so many names,carved on the cliff ,tempslibres
"Fly,",be afraid!,No Buddhists in this house!,tempslibres
sundown,summer evening melts in dark,fragrance of tea~,tempslibres
before dinner...,the spider and a fly,share the sunset,tempslibres
he kissed me,on the fourth of july,fireworks!,tempslibres
working late,the sound of a small brown moth,in the lampshade,tempslibres
in the yard,between our argument -,a red dragonfly,tempslibres
free floating,a tide full of shell fragments,and fireworks ,tempslibres
late summer rain --,two kids break the bottles,under the bridge,tempslibres
morning fog,the bluebird's call,clearly audible,tempslibres
rain,the sound of a horse galloping,through leaves,tempslibres
 too hot to sleep,i search for my son's footprint,in the front drive,tempslibres
the boat crests a wave -,tracing my finger around,an ancient stone,tempslibres
a mosquito,aiming noisily <>,the sound of one hand,tempslibres
novocain prick--,the warmth where,the dental nurse leans,tempslibres
the smell,of many campfires,in this old hunting shirt,tempslibres
sculpting,"clay, the potter",at dawn,tempslibres
master wind,sweeping the temple,zealously,tempslibres
house cleaning---,the forest fire,at dawn,tempslibres
metal birds,fly south to the,forest fire,tempslibres
thunderstorm --,a shadow pauses,at the gate,tempslibres
crickets' songs,in the pitch-dark night --,how many secrets,tempslibres
earthquake,with the typhoon -- more coins,at the temple,tempslibres
food channel,between commercials,dinner burns,tempslibres
fading this,autumn night---,the heron's legs,tempslibres
we sip sweet tea,in silence. . .,a soldier's mother,tempslibres
fireside -,a son's face smiles down,from the mantelpiece,tempslibres
remembering summer,how brittle the leaves,underfoot,tempslibres
deep in the night,my computer turned off --,sound of autumn rain,tempslibres
no more war,two fighting beetles,on a tombstone,tempslibres
near the wall,of the cemetery,a condom,tempslibres
during the vigil,a withered flower,on the tiled floor,tempslibres
no moon--,the individual,songs of crickets,tempslibres
indian summer-,rouging her cheeks,as she waits for a drink,tempslibres
egrets,plucking shadows,at dusk,tempslibres
sugar for the tea,behind the bowl,a line of ants,tempslibres
fire ant mound,against the flower pot,after the rain,tempslibres
forgetting my words,step by step,the autumn night deepens,tempslibres
loud pub music,a long silence,between the flirting couple,tempslibres
autumn bonfire ,all my summer dreams,scatter with the smoke,tempslibres
fading light -,a red leaf bouquet,at the smallest grave,tempslibres
"out of the city,",so many stars,unnamed,tempslibres
solo trip,in the campfire smoke,old memories,tempslibres
